冽	例側琍準凍咧荊紜洌列硎涮芸裂雲測凝倒惻次耘捌蜊前烈俐冶冷喇冰
媧	嫦剮猾滑迥萵骼姐骨嬌窩亂咼禍過朋繃鍋蝸炯堝渦始撾姍
品	噪區嘔咯唔咖譟癌澡燥嚷闆奩口嫗嶇樞操橾躁
韌	韜仞軔紉刃違偉衛圍葦幃韓韋闈緯諱招拿券槐叨枴砌挈吾
度	葦藩盞庶席範鍍緯摭蒲蔗茫蒞戒廉渡戈蕩拚莎弁萍韋械藻蓆踱遮庠廣偉
鍘	則測側
毋	車貫單固軋軍庫連憚彈嬋簞田十個涸慣箇實錮禪闡
啦	拉接撞啪立煜噫垃泣位撲培涪倍焙笠菩昱音妾
稅	脫悅銳蛻閱說兌祕秈和稍稚稞秣租秩秋科私程秒禾禿
囉	儸邏鑼玀蘿籮羅環還澴寰遝鰥楞愣爵篾甍蔑夢
覆	御履粟復屐腰薇賈要慄複價蹤屨徐癥樅從腹遷愎溧縱桁馥屜
手	扎撲扣找夫牛豐用半年羊耒聿羋打扒託抄抖技扶抉扭把抆拉拌拄抹拒
質	躓貿買貢賈費貴責贊賢資貲賃賀貸貫貨員贗狽
歪	政徵扯肯甭企懲址整遣胚狀証證祉不盃嫣焉呸否芷怔止丕武症正
鄰	令郎磷齡邵郃鬱邦耶遴拎燐轔鄙郝鄴祁玲鄞郊那鄱郾都鄘鄧鱗鈴郡部領璘憐郢冷郭嶺伶鄭
材	痳板彬豺棟森槐淋財林柝才柏析村楝梵株閉柞
柒	池也沁柴洵泌洩悚沐沌快迆忖弛她地他杲採樑牀宋呆森林淋
屝	匪扉菲痱罪霏靡啡排俳腓徘誹非悲匱斐裴輩靠
殳	股役投沒般設
耽	聊取聶聆耶沈聰聘弭聒聯椰鴆忱職耳洱枕恥耿眈茸
緝	絹縲楫結揖絲絨紹繩糸綵輯綏絡給絃紛細紀緯編線綻綰綜綺綬縛縞縮
濃	漂漕湛撙農醴遭甚儂禮膿樽遵澧嘈糟穠噥體污槽
畿	茲聯慈畜幽溼滋細幾孳參磁嫘綑縲饑姒樂累玄廊戴藥晉奚嘰漯緇機螺
惚	忽惕吻易囫物勿錫刎憾蜴賜踢匆悸惶恪懊愧怕
龐	膀滂鎊矓攏壟隴徬嚨龔傍聾襲蘢龍磅榜旁螃瓏籠朧寵
涼	漣晾京沾漓注泣澶佔驚流掠淳鯨淑汶濠沆憬液滾璟濟淬汴景涪就諒偯
曖	噯璦愛暖暝暉明朋受授棚暈盟崩綬硼胴舜萌骨冒
嬴	羸贏瀛肓娟氓妄硼胡迅崩恕盲妥忘杗芒亭亡噯調諍謠蹊網溪碉綏啁惘
矣	疾俟挨埃唉矢枚畋敏蜘癡廠改知玫牧收致故敉敖敝救啟敕敞敢散敬敵
當	黨膛擋掌檔常嘗儅棠鐺鏜襠儻堂裳肖賞尚噹炯
臻	榛至秦致到樁湊揍輳姪屋室渥棒握喔捧俸痿舂窒奏
嗆	傖愴搶滄槍鎗蒼瘡艙倉吟唸哈喻噙吃飧創咻咐食
訖	診詮誨論諭訛譙許訥誰訟詰詼詣詭誌誡吃談諂謂謠記訕訊訂訃計
菟	冤逸冕晚挽娩兔輓免勉茗竟臭蒸毚溴嗅境鏡儳攙巉
容	鎔谿熔溶俗鈉豁欲谷裕腳穴卻錐峪蓉榕壑賓慾浴
裴	斐悲輩翡裝靠製裟裘裁裂褽袋袈襞襲依非痱菲扉屝衣腓排啡匪俳
聱	熬贅鼇聶敖聲聞茸爺遨嗷傲聳聾趣攝懾囁躡洱弭鑷
諜	謀碟訑謐誌誡詢謂諳諾談諉諍認謨詫試詩詰詼譜譟喋訟課詳訣託討訕
翎	翅翔栩翩翱翮翹翻扇翳羽翡領鴒昤嗡翁蓊塌遢榻翰翌習翕羿翟廖
娘	良養宴墾浪痕狠飧餐饗食饕垠狼銀姦退根餮恨癢琅懇始艮姒
調	詞請訶訥雕稠碉誧詢話諍謂誥週詳詐誰訃謠詁計謫詛課啁凋註訕誚詰諼詬綢周誌
藹	靄謁噶罰獄辯謨誡碣譁譜識譙護謊諾謂諳諜課誰諛諉談誌誣認誚詳試
婿	胥楚疋蛋旋娟礎漩媼踩妳娛佾蹈跚妞好奴媛婷嚏蹊娩妤奶內
燴	儈檜膾繪會給劊覃潭撢儉僵綸偷倫佺偭蕈檢臉燈撿罈褕銓榆幹逾渝愉
離	籬敵帷進雜錐睢椎淮推惟堆唯雞雕獻誰雉雊稚碓雄準隹瞿崔
櫺	孀樞靈橾雨霖霞霜漏軀嶇嫗嘔露霽瘺霑霍霎霄奩雲雯雪
篁	煌遑湟惶凰蝗隍徨韹皇筐珀旺皆斑班痊荃箔潤鉑逛柏迫玨泊拍怕伯
掛	褂捱鮭涯卦撓娃閨奎哇掛圭佳鞋窪畦桂蛙崖拮堯街封
地	她弛池他迆也牠志訑馳均拖迤痣忖快悚柒恙圩施土圭
茲	吆淺藥似麼茹箋爍以窈孳機樂鑠玄棧關奚幽嘰畜絃蘊拗幾滋璣慈姒磁
瑭	塘班搪糖醣琅球玨唐瑯瑰玷玥斑王瑾璞理珠珊珀玩玟玫玖琯琉瑚琺玳
蝕	蟲餽餌餅飼餓飪飩飲飢饉飴餞蝨餃餉飽餚飯餿飾餒餘餵
黏	黍貼點店涼漆沾佔帖乩拈戰稚霑玷砧藷粘圖站儲膝惦
駛	馱馬駐駟駒駢馳馭馴駁騁駭騙駝駱騎驥駙駿騷騵驃騾驍驕驗驛驟驢驅
鄂	顎愕鍔萼鄙郵郾鄗部郭郢鄞郡郃郎鬱鄭耶邸邱鄴邵祁邢邪邦那酈
昨	妒昇淚遍作窄褊偏僱戶笮砟蚱詐炸肩捩乍邀唳咋祚怎篇柞
摜	貫慣貫
撾	過撻撲搞攏鍋攘渦媧堝掠萵拈擅擁摔禍掖抗窩
錚	淨掙崢睜猙靜箏諍爭鍰鋼銅鍋脊鎰鋇鏑鋤潸鎊鎳鏗鈽鉛睬鐳鐫深探採
倏	攸脩絛條修鯈候袱仲做傲爪敕伏收俟悠傚倣佻嫩滌伽偽疣篠
瞋	滇慎填鎮巔縝闐癲真睫睹顛盯瞎睡睥睢眼盼盹眇睬目
颺	颱暘陽颳鍚暢腸煬楊揚場颶颼瘍楓瘋嵐風颯諷
靦	莧面硯覲覺蜆覬觀筧見規覜緬覓現峴偭湎覦視
爽	塽爻痍餚囪淆崤痂鈸拔樊希攀大烯晞紱稀窗唏跋募傯駁努學療
擋	捎嫦黨膛螳掌檔撐償讜儅幅棠瞠撇當鐺鏜襠儻堂尚噹福
槓	貢潰遺槓匱簣漬嘖債磧積貴績蹟損價隕瓚項釭肛江扛
澗	潤瀾簡間嫻燜僩捫們汨門憫櫚涅攔爛欄漕濕擱湯斕晚悶閑閒問冕藺閃
坳	幼窈拗
脩	攸條倏修絛鯈侑候仲悠做傲爪敕收傚倣滌嫩佻俟篠
田	四囚因回困胃思甸佃苗鈿由甲毋曲裡東果囝囤固囿男畎畏畋畔畦異
理	裏環弄玥王珪班珊玫玖浬玨瑰狸埋童珀暑斑俚玷娌玟鋰裡哩著
禪	蟬憚彈嬋簞闡單祀福禳祝禧禍戰祐禮禱儼祗祥祕祠祖神祚祆社祁襄器
劇	釗割制剋劊劍劂刻居遽削剖創剔剁剷劑刷副璩據刺剎剩噱剃剝剌刎剴
抓	瓜爬扳拆捶揪託捷括扒抑攤爪插播徐孤從掀狐搜庚拍折搗
禱	檮祠禧祈祆鑄祕社禮祀祁禍禪壽結祐祉祗躊疇祥濤儔籌祚祖燾福祿禳
壹	愷脰噎嶝澄皚橙澧燈瞪磴胴禮體筒豉桐銅峒恫洞證蹬醴
損	貝捐隕槓慣臢員潰績債瓚磧韻遺積賡貧賸簣嘖賁匱蹟鑽賞圓賽漬讚實
渴	褐濕混曷竭謁歇揭湯噶漫羯暍瀑碣涅汨愒遏葛喝
赳	赴越走起趙趟超趕趣趁趨陡叫糾徒收垓狀戕妯垃卦妝壯址進跟堤壕壤
鑼	邏囉儸玀籮蘿羅還環澴寰遝鰥楞愣篾爵甍蔑夢
尋	待詩靈掃褥恃痔刁持潯帚符奪將廚耨峙咐等討吋附冠謝蔚侍雪磚府時樹
奸	汗桿肝乾旱竿妍軒罕訐鼾橄姪敢悍捍桿焊銲刊瞰岸
錶	婊表鈇素嗉鍥鏟畏青銀鉗鈿鈣鈞釦釭針釙釘拓打耨鍔煨晴喂清情偎倩
基	共恭塞益巷異烘哄拱洪供斯巽鬨寒寨搴暴並港
館	饅餞飭餾飴餃餚餉菅倌饑餌官餵管饒琯蝕餓餡飼綰餿餅飾餽飽餒餘餛棺
鎔	熔榕溶蓉容錠銨欲卻谷裕浴峪俗針腳鎗豁鉛鑰鈷穴
湣	泯抿岷眠氓民婚潛昏嗜涓浥漕澗泜洵娼唱涅潠澡愍旬
澆	法橈涯嬈珪繞撓蹺翹瀆圭曉窪僥饒涅燒堯濤蟯驍溘鐃
渠	巨苣鉅炬拒樑架柒染爭杲採牀宋呆森局凸凹淋淨矩洱泥林沐氾
鼎	目睛睫眼眶眠眩瞞盯瞿纂睦睞睹睬睜睥睢瞄睽睡睏瞎瞇瞋眸眺盹瞰瞧
哭	器吠獸臭突咒單戾囂犬畎伏莽嚴獻獎狀猷默區襄巖唳袱嗅獄儼
柵	盥益蜢盟盎珊相扁楠盂棚皿盜檻錳跚盃監盛盍孟冊盔盅猛姍
殃	例泱殆咧央歿洌列鞅殘殤殲怏殯映歹秧殊殖殮英死殉
券	倦炤豢謄切刀半蜷紹沼岔叛昭卷忿圈迢判叨分捲初挈拳譽眷招
柯	河坷呵何阿苛奇蚵軻椅訶可倚崎畸錡寄荷犄琦婀啊
掖	液腋夜摔抗掠搞擅擁攘撲投迄提擭抆健挺撻撾
力	荔加邊另男動茄幼勵助伽肋叻勰迦劣劫筋痂咖勇歷協脅
申	呷樓岫柙屢甲胛簍暢胄呻坤摟押婁砷迪妯嘍柚褸鏤油由紳伸匣抽神宙
毚	儳攙巉纔讒饞諧楷揩階偕陛琵崑皆錕焜棍混篦鹿罷餛媲琨
檮	濤疇儔鑄禱躊籌壽桔燾檯櫝橈杜桅檣桂蟯棧械栘耘鬆弱坎樹堠塗堡崁
冉	苒再坍玥媾搆溝構稱遘月土珊堝壺膺髯講購攜
彤	杉衫彩彥形彫彪彭彰影丹箄坍肪彬疹珍趁遞諺射顏榭膨旁產
棠	掌當常黨尚嘗裳賞堂肖噹檔炯膛擋襠鏜鐺呆敞梢敝淌嫦哨倘削保瞠儻
櫬	襯親欖攬相纜覽湘霜箱廂椒棚雜楨柿枕樸櫻楣梳想
窈	簾窮窟窄窘藥姒似幼空麼竊窒茲鑠窕玄窪究奚穴劫穹畜突拗窠黝筋勗脅
俯	餞令含腐似踐腑符念傅條咐棧傳傖附俊械侍俟府付休伐伶今
琛	深探玥琿瑤璦珊玨瑁璃瓔現斑瑚班王瑛瑜琉珪璀璜璿瓚頊瑣珠璞琳再
堰	偃鼴垠艮腿褪郾根退銀恨痕眼狠限墀跟很艱良
縞	槁鎬搞絃縴稿犒篙蒿嵩縲締織絹絲紋綵綏結終綽絞紡縫糸
學	鱟覺黌孚孛季孝存攪李字孕浮俘餚孱荸脖悖籽好囝仔
挾	俎俸扣扳愜抆撲找捷扎捧拔扒攤扶抓頰陝莢抉狹捉峽夾推浹俠奉挫
允	充兒唐康庸劃庚統州禿亮羌兕傭塘搪慷慵中戈山兜列洲班蚤強鄉肆瑭
搪	塘瑭糖醣唐找擡捕拔撼拚扣搔摭挨拭捷捉括拽抿拂拈抽押拓拇抱拘扯
齜	齟齦齣齪齲齡齬齷疵髭此齧雌齒毗枇沘批妣仳
汗	奸桿肝乾旱竿汙汀汪軒罕訐鼾橄江汁河洹敢捍悍焊桿銲刊瞰岸
徵	待御徠很徜徹律復衝彼薇徇懲術徘彷狀衢證衡癥歪循徉徊徒彿微焉銜往街衍黴症正
酵	醇酉酷酩酪醉醋醃醮醺酥酗酊酸醒醞醴釀釅酴酣醣醜配酌
寓	偶遇隅耦禺愚藕癘邁萬寰厲禹甲巾蜀宵宥宙宜簾宏守吊布實躉鉀幟柙
怛	悍坦但袒旬惺查疸旦惕愒慢靼憬恨耆晝捍桿焊惶湯暘銲旺昊旱
玩	玥王球遠班玫珊琪玖璞梡理瑾玨珠莞瑰斑元瑭瑣冠頊玷頑琉玟琢寇園現琅完珀
桃	眺佻跳洮潰逃遺遣窕挑排俳姚簣北兆覜匱頫晁啡腓邶
顎	鄂頤頡碩頑頊煩項頂囂題顆顛願頰頸頻頷頭頜頫顧顥顫頓頒頌顯須頃
哮	教孝咦味酵嘟軌咕吱染執喃諸嚀夷子丈九享字
價	隕槓慣績腰潰臢債賈慄躓瓚階遺磧韻積賡賸簣嘖遷損匱蹟鑽圓介溧漬實
捆	梱睏困綑摑押果棵拇裸採撙描揉操手森泗泅猓抽抹林找抉稞佃鈿扣撲
踡	倦捲跪蜷圈足卷踐踏踩踴蹉蹦蹟跎跆蹶蹺距趺
葭	遐煆暇假霞瑕蝦豭芟夜菔寢蓬疫又般浸候侵股沒投
供	異僎巽寨暴拱鬨港搴僕併濮哄共寒烘恭塞基洪佯
璀	摧催瑞懼玨崔琉斑班璃瑁珪攜睢王瞿瑤暹僱瑜瞧琛琥玲珍璞理玥玫玩
西	哂迺曬湮煙酉酒鈿酊配酌酗酣酥曾醋醜醫兵酩鉀酷酴鋰醣醮醺
魎	倆輛兩魅魁鬼魑帷師魍魄瑰槐愧塊傀佩雨篩蒐幾
愒	暍揭渴喝遏褐碣竭羯葛謁曷惕怛惺悍慢憬旬噶歇
戀	言跡蠻礫懸鑾灤巒譏認鸞灣奕變攣孿絃絮彎絲亦喲弈誌
犄	琦椅畸崎倚錡綺騎寄奇荷婀啊可柯河坷呵何苛
略	咯烙格胳洛恪鉻珞絡賂路酪骼客詻貉駱閣咚各
詔	詰誥詻語諮認譟詞記詫詼詣訟誌誡誤諒談諉諂諍諾謂詁詐話詬訕託計
細	縲綑絲糸絆絀紳組紲紗絢紋純紐納紂紀約紆糾維練繡繙
蜢	艋錳蝙猛蟲蠱蚓蟾蛹蟲孟蜿蜻蜈蝶蝸蝓螟蛉蟑蟒蟆蟋螳蚣蟠蠔蛐蚶蛆
攏	膀滂鎊矓龐壟隴徬嚨龔傍聾襲蘢龍磅榜旁螃瓏籠朧寵
咄	絀窟出掘叱崛吧倔茁黜拙乩圯咆包屈巳吐笨微祟品口嗤癌
攬	攪攝拒出掃看扼掘崛倔櫬摒盹目拙親襯欖屈損握覽捲纜擺攫撬眷招
縊	鎰溢編隘縲繕縑絲綵綸綏絹緙糸益縞締緩繃綿綬繚繒結絨繽絃續紛細
撲	卜異拼拱擭璞撰搓搭樸攤措補搴僕搽供濮摸哄描撒共噗烘恭基洪蹼 撕
緲	渺紗絲縲組綵綏綱眇綬纓綢糸紕絆絀細純納紀緩絹績纜網纂
煞	熬鄒疾疢矢癸矣皺畋欠欽灰灸久炊疚坎痰恢芻炎吹知枚然燃
橙	醴睽嶝禮磴葵證壹揆蹬鄧皚澄澧愷凳瞪燈體登 
六	交兗冥袞滾商與咬姣校嘀嫡摘滴鉸適鏑卜金狡郊效皎暝嶼舉
抑	聊唧節御卯卹迎茆印昂卿啣腳捌仰鉚抵鯽泖叩柳姬
態	熊擺襬能罷昆庇屁毗枇批妣沘仳比筧莧覓息見蜆視峴紕
蹂	踩跺揉踴跪足踐踏蹈鞣蹬跎跆躁踝跦趴踱踢蹉蹦蹣蹲躊躪跟距跚跌趺
梓	鋅闢辭莘宰辜辛辨辦辣滓樟瓣辮辯枓樸僻避薛薜癖
溺	篛弱鶸洌侯泓瀰沍汐詭桅脆濤歹夙漲河汍汎汀跪沒汽多危
嶼	與舉歟譽峨峴臼六睨匕鼠舀皎狡叱化樁潟稻滾滔焰啗陷峯臾身交山舊
叮	訶或咧酊呃哂汽哽汀打呀呵啊薴歹丁可啄仃訂籲呸啞盯釘喱佇唔
壁	劈薛襞僻宰癖蘗鋅檗霹梓譬辜莘避闢璧臂薜辛擘
訐	訏訂評訌計訶誣討訊訕託訑記訝訣訥許訢訃註詞証詁詛詐訴詳話誅詢
枕	沈忱耽相鴆柿柚棣目巾秧楨棉楣湘束廂箱林札樓帽睬槓懵欖桃櫬睏櫃
謨	諾謊譁護譜誡講諳謀詼詳識諜謂議談誌詰詣訟謹謙諶詢訣訕計訃
愛	受噯曖璦朋舜崩棚胴硼鵬骨授肫綬胸胞覓月滑靜
遍	淚褊楹媼偏僱籃扁嗑塭溫房編蝙匾肩檻捩邀錳慍唳濫盛騙襤溢鑑溘猛篇
襖	制褊澳裨褫央自喚沃衽向血妖噢爨厭懊瘓煥奐夭奧衫衹躍渙筋燠換
餉	飪飢餽餓飯餿餅餌飽飼飩飲餚飴餒餃蝕饉飾餞餡
洲	酬州淺治滲渡蚤洌泓浚強搔劃浪浦泳濂減棧滅溥樑濁褲錢庚箋
鶉	鳴鵑鴣鳩鵲鵝鵠鴿鶴鷓鷗鴨鴒鴆鴉敦郭孰鵡鵪鷂鸛鴦鴛鷹鳶
週	惆啁稠碉凋蜩綢調迥鯛周裯雕肚造運過彫遙膨吉
靨	壓魘湎偭饜緬麵面靦厭奭百璽盟覃然症毒左宿釐燃膘撚弼胯陌明佰
陡	隄越防陣陞趙趨限陪阪阡趣起趟弔陸阿除陌陝陴徒阱阬陵赳超走阻陳趕赴
艾	若哎莢茄荻荔菴惹廿送朕爻美茵薦匿莫大偌尖芯昔苗鄭
抨	坪枰砰秤評平萍拓打不扛杯壞振扼捱捺搓撢擂芣否示
岌	圾吸汲伋級及反峯各冬閣扳阪板返峻殼鈑客疼皮咚恪咯叛洛皈降格烙
嘛	麻摩唆唉哺嬤朮麼痲麾磨糜蘑魔述怵賊絨褲礦吠靡戎
詐	詞訏訴作訥諛訢詢訣許託話誅記詳炸誠誰討乍詁訪計詛課訊訂昨訐註訕誚詬訑
墊	摯執塾丸孝堵汍墅圭爹軌勢熱痛麥究多宛夷夕丈九哮鐵
袞	袁兗衷褒六哀旅遠呱裳園兌釦迎滾鋁冥昂衣脫逞舐砥悅猿銳抑仰
筏	符八閥伐篌篠答今麼箋簽籤籥矜伏代念岑含令袱鈐傖踐俟吟伶扒叭
遷	這粟韆迺腰逗纖亞覆賈要慄奄價千迪逼遛遝袖溧近還
駒	馳馬駐駟駛駢馱馭駁駭騙駝駱騎驗駙馴驅騁駿騷騵驃騾驕驍驛驟驢驥
颳	颼颱颶颺蛞活括恬話聒風颯楓舌瘋嵐闊甜舐舔刮諷飄
瞌	磕溘嗑豔蓋闔盍睦濫尷檻襤鑑盞瞄睬艦藍籃瞞瞧睛睜塭眸眩睢目監瞿
慈	葬藥惹芯鄉茹蕙忍蕊孳樂萄茲玄關幽蔥苓蘊弋惠怠莊幾滋蓄苔莽畿磁
審	蕃墦播潘幡番繙蟠嬸瀋稞鞦痿萎禾莠秦穌鍬啾愀揪逶倭
簸	箕菠祺琪棋淇麒鈹其皮疲詖欺期被破玻波陂披彼坡
鄹	聚耶邱那鄴鄭鄧鄱鄙鄘郾部都郡郢郊郎鬱郃邵祁邢邦驟
票	漂鰾碳縹宗飄剽標禁祭嫖三示瓢膘奈驃祟鏢禦瞟
闆	問閭闡橾操閑間閒悶閃閂奩門樞嶇嫗嘔闌閱閨閩聞閘閔閏開閎閉閤櫚
篦	媲崑鹿罷錕琨焜棍混餛皆楷揩偕陛琵階毗比毚昆庇屁諧枇沘批妣仳
輔	軸博捕敷莆軏軌哺蒲搏補轟甫軔軋鋪圃輊膊車脯軟軾匍浦埔軒
悖	脖荸孛浮悸俘孚勃肺慎沛渤芾惇嗦酵嚏子厚享字學
顏	頻穎顧顆頂願顛頃頹頒題頓頡頤頌頭顯頰顥彥諺碩頊頫領額煩須頷頗類頜
鯀	縣係孫鰍鯉鮪鮭魷鮫鮑鱷鯨鯧鰓鯽鯛鯖鰭鰥鰾鰻鱔鱗鱖鱸鰱遜蓀
佚	跌迭秩軼件失伕俄牧伯作任仟傀夫牛侏俾佾入
痙	莖氫逕涇經徑輕奈痘誇陘勁左頸災姦巡痞三巢淄錙
讓	諒諄嚷誶訃謎鑲瓖攘孃壤識諳譴釀禳譟諦詰謫該詨註訪
缸	缽肛槓釭江扛缶缺罈紅虹訌罐工築佐槓鴻汞攻功淘掏啕搖遙榣萄
闈	葦圍韓違幃偉緯拿韋閑閉閤闌閏開問閂門嫻闋閻闔關閣闡闆閭閨閩聞
疊	壘儡且疽胃宜誼沮姐咀勗鋤粗組蛆砠祖租俎狙阻助
蓿	縮宿萱蓉莞薴菅佰葵荼荃蔡蕙荸氨著苦芾芰荷百丘暄幹渲喧
試	請詩訏謀詢誧詼談託謂認誼拭誠訟討詮計識詛諮詠訐訕詰誡詆訑詫式諜誌
缽	缺缶缸罈罐淘掏啕搖遙榣萄陶偉瑤笨苯違韓本圍葦
啁	碉惆週凋稠調綢蜩鯛周裯臺肚雕吉胡咀彫娟捐涓噯檯硼膨薹
臂	檗擘壁劈璧襞譬蘗闢薜癖避僻闢霹辜薛辛莘宰芾鋅梓
燻	薰醺燃造浩衽妊任壬呈少皓廷燠樵糕憔嘿熄誥酷煌淡啖飪炸炒聖窖望
懇	娘貍霾願墾貓豺貂貊懲狠篁怕狼忘忿慇豹解恨貌忽貉艮
饜	魘壓靨食厭餐養癢瘡良飧饗餮琅狼浪娘痕倉奭饕艮百餒
皮	陂破板皰彼玻菠疲皺跛被詖披鈹皴波坡簸格頗 
仄	雁丙一巫二人欠病筮三蒙柄炳準元雲厄示閃厥仁囚八冷
喀	擱落露咯客雒各咚略路格烙珞胳鉻恪洛嚀閣喧絡詻賂唆噴骼吭吸額反
鎊	膀榜滂傍磅謗螃徬旁肪楞愣方枋妨坊仿鏃攏嚨朧龐寵籠芳房
鵲	鴣鷓鵠鵝島鵑鳩鴒鶴鳶鶉鳥鴉鴦鷂鴨鴆鶯鴿鵡鷗鷹鳴鵪鸛
吧	邑把杷肥浥巴芭疤笆扈耙邕爬靶爸唱滬色琶梔葩
忍	急忠思藍慰芯愚籃蕙認忌代檻感濫弋仞惠監襤涊尷鑑怎式志刃
洹	渲喧暄萱垣桓晅宣奭汪汗汙江汀渣百河酒沍源沅湯旦
浚	峻唆梭俊竣酸駿痠淺洛鈑治渡滲蔆凌沒沆鉻鋒販波汲反菱
睏	梱睬目捆瞄眶綑睞睢眼相眇盹盯睜瞳困瞇瞿睫睥睨睹眠睡盼瞋瞭睛睦
省	眉算篡看苜冒眷纂渺緲盲劣督瞥自目相眇湄媚楣
拮	桔持周吉結撓黠擡掛牡捂招浩造嘻扣圯擷告售
老	耄耋佬姥丈杖仗者宏忝宥恩考孝慕協怒添渚帶屠奢堵著煮楮暑嗯箸褚
閭	櫚莒宮問鋁侶闆呂闡閱閑間閒悶閉閃閂門閡閨閩聞閘闌開閔閏閎闊閣
溧	慄腰遷慄價粟要賈覆袖江樑裸油溜湮湍涯淹潭澴沅洩沸沂汙淋淅韆梱
驃	鰾鏢縹膘標漂嫖瞟騵騾駁馬騷驍驛驗騎騁駱驢驥駝驪駢駐駟駛駒馳馱
浩	造皓誥酷窖告淫呈洛燻衽洗妊任壬沼廷薰桔涪拮逞渦沿治醺飪望聖吉
躍	櫂羿僇襖擢沃廖穋妖褶翟嘐蹋寥膠耀曜謬繆濯遢夭摺翰 
釉	乎柚悉呼釋鈾袖迪油抽岫妯笛軸宙釆竊鼬蟋由
羞	扭羋羊差醜鈕忸妞羚庠紐烊洋咩佯羯羶祥翔搓嵯嗟鮮
陷	防陞陪阪掐諂隙弔陸閻降阿阮滔除隆陴稻焰樁陀阬餡啗隍陽阡
霎	雷霽霞霜零靈雩雨霪霆靄霰霄雲霹霧霓霑雹雪雯霏黴霖震霍
諭	論詮訖誨診喻逾偷訛褕譙瑜榆渝愉訥謂輸請蝓誰許訂
猶	酋猷奠猓狸狎狙狂狽狠狡狗狄犯猥狼狹狐猜猖狷獲獷
帕	迫鉑帷幫錦怕帖帛綿陌腺棉白柏帆粕巾幡拍泊伯舶 珀
呱	弧孤狐瓤瓠瓢瓜瓣菰吆以袁叭姒似袞咋哦吒嘰哀系
津	沁律洩泱毽洮沈肄筆肇洋健建沸汕油沖淵沐聿汁肆淦汝腱汨水鍵
究	穹空突痍簾窄窗窠夷九姨咦胰仇穿窒窈窮窘軌
北	邶兆此比叱化能仳妣批沘枇毗雌屁庇昆死牝匙佻姚挑洮桃紕逃匕它尼
褓	葆袱保澡噪燥躁堡藻滌條附爪複褕裕臨譟褒谷呆
硫	琉梳流疏毓識唷磊砧碎碳碗磅礫石砭堉硿磁碟磋碾磕幟磚熾磴礁職礦
搆	溝媾構遘購講拼苒摒稱鉼耕胼迸姘併屏攜駢阱並冉井
訂	詞訏訴訶訥訢評詢訣許託記訝詳打証詐誣丁叮訃討詁計詛訊盯訐訌註詠訕釘詬訑
佐	倚工惰隋槓肛扛江釭汞佈佑俺攻功缸巧紅虹貢築
璿	濬瓏睿斑璃琉玨琥玷玟班璩璨璜璋瓖瑤瑁琛玥
紊	絲累系素索紮紫絮繁繫緊紋糸喲縲濰細辮吝羅蘊文紗純紐納紂絆絃絀
賽	鋇貝隕慣寨臢潰債遺韻賡搴貧賸簣賁嘖損寶匱騫鑽賞寒圓漬塞實
片	版牌牒牘牖串亞川堊啞惡介圳患釧止斤弗工蟲北兆甽邶徘袖氬順罪蜇
鬢	鬃髻髡鬍髯髦鬚鬆髭鬣髮繽臏殯檳濱嬪儐賓箄
棺	棕菅倌搾檳檸刮耜梡官枝管枯琯杖綰榕糊橾棲楛館
赴	走起越趙趟超趕趣趁趨陡徒僕卦躋躂趾進跤坑偯伉壕卞
剮	咼媧禍鍋渦
琴	零泠王玳班琵拎琶蛉捻吟玨玲矜瑜斑枉苓鈴唸鈐瑟黔岑冷狂伶今
鏈	漣軸陣渾軏運軌軍輝庫揮葷暈鰱轟褲輦輩攆載蓮軋連車軟暉琿軒
難	準雕帷歎艱離碓唯雄維攤雉坐睢淮堆癱稚舊惟椎嘆錐漢灘雊推雜雖進
諫	訣討課誚詖訏訑訕計訃誰詳誅詢註評詁詛詐訥許記託訐訊訂諱謂談詼
蓬	芟菱亢炕返峯菠抗篷蜂冬葭縫反鋒蓮芳伉沆坑阬杭吭落逢
槳	牀寸博藥蔣森獎爍將鏘傅樂搏辱漿醬鑠樑廂林琳溥膊縛栽村採肘霖膝
嶙	粼磷麟鱗
盪	燙盟盃扁盂湯盥監盜盛盔益盍盅孟珊盤盎盈蕩盆血洫柵姍
弊	短幣鱉撤疾敵氅銷屑敗澈矢蔽敞散矣撇斃廠瞥憋藪撒梢瘩肖尚彆宵敝莽
匾	騙扁偏遍篇褊盛翩肩編蝙匠冊乍皿戶盆籃匝血刀屜笮怎昨柵柞炸盅咋
咎	晷各偺咯客反恪洛格烙胳略鉻冬閣咚板返扳珞鈑路
灰	傑碳熬偽火詼疢大煞爻疝撚瘠狄炙炭恢痰左炎有盔然燃
時	待寸詩守博狩恃寺褥痔撙持奪將傅過搏耨峙襯曉傳等討特樽溥遵對塒膊侍磚村付封
邕	扈災浥巢邑吧巡淄錙姦葩巴梔絕惱腦瑙緇輜繅獵邋臘蠟
表	婊錶素青畏嗉長生拓差打佞辱害倩清情偎菁晴喂煨
珍	王玳彬珪班玫栓玖趁穆銓診玨玲瑰瑜諺斑澎璀琨疹膨佺拴珀
浦	溥捕埔哺脯補鋪圃莆匍蒲輔誧博傅搏膊甫沛縛賻
翰	瀚蹋遢煽榻塌嗡蓊翁僇羿褶濯擢櫂曜摺躍翼翟習翌
擘	檗臂壁劈璧襞譬蘗闢薜癖避僻闢霹辜薛辛莘宰鋅梓啦
